speciesAbbr	speciesSCI	speciesFI	speciesSV	speciesEN	visibility
LYMMIN	Lymnocryptes minimus	Jänkäkurppa	Dvärgbeckasin	Jack Snipe	1
GALGAL	Gallinago gallinago	Taivaanvuohi	Enkelbeckasin	Snipe	1
GALMED	Gallinago media	Heinäkurppa	Dubbelbeckasin	Great Snipe	1
SCORUS	Scolopax rusticola	Lehtokurppa	Morkulla	Woodcock	1
LIMLIM	Limosa limosa	Mustapyrstökuiri	Rödspov	Black-tailed Godwit	1
LIMLAP	Limosa lapponica	Punakuiri	Myrspov	Bar-tailed Godwit	1
NUMPHA	Numenius phaeopus	Pikkukuovi	Småspov	Whimbrel	1
NUMARQ	Numenius arquata	Kuovi	Storspov	Curlew	1
TRIERY	Tringa erythropus	Mustaviklo	Svartsnäppa	Spotted Redshank	1
TRITOT	Tringa totanus	Punajalkaviklo	Rödbena	Redshank	1
TRISTA	Tringa stagnatilis	Lampiviklo	Dammsnäppa	Marsh Sandpiper	1
TRINEB	Tringa nebularia	Valkoviklo	Gluttsnäppa	Greenshank	1
TRIOCH	Tringa ochropus	Metsäviklo	Skogssnäppa	Green Sandpiper	1
TRIGLA	Tringa glareola	Liro	Grönbena	Wood Sandpiper	1
XENCIN	Xenus cinereus	Rantakurvi	Tereksnäppa	Terek Sandpiper	0
ACTHYP	Actitis hypoleucos	Rantasipi	Drillsnäppa	Common Sandpiper	1
AREINT	Arenaria interpres	Karikukko	Roskarl	Turnstone	1
PHALOB	Phalaropus lobatus	Vesipääsky	Smalnäbbad simsnäppa	Red-necked Phalarope	1
STECUS	Stercorarius parasiticus	Merikihu	Labb	Arctic Skua	1
STELON	Stercorarius longicaudus	Tunturikihu	Fjällabb	Long-tailed Skua	1
LARMIN	Larus minutus	Pikkulokki	Dvärgmås	Little Gull	1
LARRID	Larus ridibundus	Naurulokki	Skrattmås	Black-headed Gull	1
LARCAN	Larus canus	Kalalokki	Fiskmås	Common Gull	1
LARFUS	Larus fuscus	Selkälokki	Silltrut	Lesser Black-backed Gull	1
LARARG	Larus argentatus	Harmaalokki	Gråtrut	Herring Gull	1
LARMAR	Larus marinus	Merilokki	Havstrut	Great Black-backed Gull	1
STECAS	Sterna caspia	Räyskä	Skräntärna	Caspian Tern	1
STEHIR	Sterna hirundo	Kalatiira	Fisktärna	Common Tern	1
STEAEA	Sterna paradisaea	Lapintiira	Silvertärna	Arctic Tern	1
STEALB	Sterna albifrons	Pikkutiira	Småtärna	Little Tern	1
CHLNIG	Chlidonias niger	Mustatiira	Svarttärna	Black Tern	1
URIAAL	Uria aalge	Etelänkiisla	Sillgrissla	Guillemot	1
ALCTOR	Alca torda	Ruokki	Tordmule	Razorbill	1
CEPGRY	Cepphus grylle	Riskilä	Tobisgrissla	Black Guillemot	1
COLLIV	Columba livia	Kesykyyhky	Tamduva	Rock Dove	1
COLOEN	Columba oenas	Uuttukyyhky	Skogsduva	Stock Dove	1
COLPAL	Columba palumbus	Sepelkyyhky	Ringduva	Wood Pigeon	1
STRDEC	Streptopelia decaocto	Turkinkyyhky	Turkduva	Collared Dove	1
STRTUR	Streptopelia turtur	Turturikyyhky	Turturduva	Turtle Dove	1
CUCCAN	Cuculus canorus	Käki	Gök	Cuckoo	1
BUBBUB	Bubo bubo	Huuhkaja	Berguv	Eagle Owl	1
NYCSCA	Nyctea scandiaca	Tunturipöllö	Fjälluggla	Snowy Owl	0
SURULU	Surnia ulula	Hiiripöllö	Hökuggla	Hawk Owl	1
GLAPAS	Glaucidium passerinum	Varpuspöllö	Sparvuggla	Pygmy Owl	1
STRALU	Strix aluco	Lehtopöllö	Kattuggla	Tawny Owl	1
STRURA	Strix uralensis	Viirupöllö	Slaguggla	Ural Owl	1
STRNEB	Strix nebulosa	Lapinpöllö	Lappuggla	Great Grey Owl	1
ASIOTU	Asio otus	Sarvipöllö	Hornuggla	Long-eared Owl	1
ASIFLA	Asio flammeus	Suopöllö	Jorduggla	Short-eared Owl	1
AEGFUN	Aegolius funereus	Helmipöllö	Pärluggla	Tengmalm's Owl	1
